name,Tip A,Tip A,Tip B,Tip B
axis,a/b,beta,a/b,beta
0,0.04999999999999996,1.0057827822673975,0.04999999999999999,1.00202134613004
1,0.05828282828282825,1.0049427079853988,0.05848484848484848,1.0021607799844954
2,0.06656565656565654,1.0042851746823982,0.06696969696969697,1.0023650517006804
3,0.07484848484848483,1.0038011026131917,0.07545454545454547,1.0026314056974932
4,0.08313131313131311,1.003481722247094,0.08393939393939395,1.0029571680246263
5,0.0914141414141414,1.0033185742679405,0.09242424242424245,1.0033397463625653
6,0.0996969696969697,1.0033035095740857,0.10090909090909095,1.00377663002259
7,0.10797979797979798,1.0034286892784046,0.10939393939393943,1.0042653899467746
8,0.11626262626262628,1.0036865847082916,0.11787878787878793,1.004803678707986
9,0.12454545454545457,1.0040699774056607,0.12636363636363643,1.005389230509886
10,0.13282828282828285,1.0045719591269466,0.1348484848484849,1.006019861186929
11,0.14111111111111113,1.0051859318431027,0.14333333333333342,1.006693468204365
12,0.14939393939393944,1.005905607739603,0.1518181818181819,1.007408030658236
13,0.15767676767676772,1.006725009216441,0.1603030303030304,1.0081616092753793
14,0.16595959595959603,1.0076384688881301,0.16878787878787888,1.008952346413425
15,0.1742424242424243,1.0086406295837036,0.1772727272727274,1.0097784660607976
16,0.1825252525252526,1.0097264443467144,0.18575757575757587,1.010638273836715
17,0.19080808080808087,1.0108911764352353,0.19424242424242436,1.0115301569911894
18,0.19909090909090918,1.012130399321859,0.20272727272727287,1.012452584405027
19,0.20737373737373746,1.0134399966936982,0.21121212121212135,1.0134041065898267
20,0.21565656565656574,1.014816162452385,0.21969696969696983,1.0143833556879827
21,0.22393939393939405,1.0162554007140714,0.22818181818181835,1.015389045472682
22,0.23222222222222233,1.0177545258094296,0.23666666666666683,1.0164199713479058
23,0.2405050505050506,1.0193106622836512,0.24515151515151531,1.0174750103484291
24,0.24878787878787892,1.0209212448964475,0.2536363636363638,1.0185531211398209
25,0.2570707070707072,1.0225840186220505,0.2621212121212123,1.0196533440184439
26,0.26535353535353545,1.0242970386492107,0.2706060606060608,1.0207748009114543
27,0.2736363636363638,1.0260586703811996,0.2790909090909093,1.0219166953768026
28,0.28191919191919207,1.027867589435808,0.2875757575757578,1.0230783126032332
29,0.29020202020202035,1.0297227816453463,0.29606060606060625,1.0242590194102839
30,0.29848484848484863,1.0316235430566452,0.3045454545454548,1.0254582642482866
31,0.3067676767676769,1.0335694799310549,0.31303030303030327,1.0266755771983669
32,0.31505050505050525,1.0355605087444455,0.32151515151515175,1.0279105699724445
33,0.3233333333333335,1.0375968561872069,0.33000000000000024,1.0291629359132326
34,0.3316161616161618,1.0396790591642489,0.3384848484848487,1.0304324499942386
35,0.33989898989899003,1.041807964795001,0.3469696969696972,1.0317189688197632
